"";"Jahr";"WKR_NR";"WKR_NAME";"LAND_NR";"LAND_NAME";"Wahlbezirksart";"Wahlkreisname";"Wähler";"Ungültige";"CDU";"CSU";"SPD";"LINKE";"GRÜNE";"FDP";"AFD";"meistgewählt";"pct";"geometry";"ref_value";"winner_abzz";"Land";"Geschlecht";"Geburtsjahresgruppe";"Summe";"Ungültig";"AfD";"DIE LINKE";"Sonstige";"dar. FREIE WÄHLER";"dar. dieBasis";"dar. BSW"
"121";2017;"0";"0";"0";0;0;0;0;0;4277;0;4882;0;2556;2611;0;0;0;0;0;0;0;0;0;21678;298;1555;2946;2552;143;0;0
"122";2017;"0";"0";"0";0;0;0;0;0;7021;0;7822;0;1371;3764;0;0;0;0;0;0;0;0;0;33470;614;4730;4530;3619;471;0;0
"123";2017;"0";"0";"0";0;0;0;0;0;8380;0;7140;0;2026;2964;0;0;0;0;0;0;0;0;0;34406;328;6584;4586;2399;479;0;0
"124";2017;"0";"0";"0";0;0;0;0;0;22653;0;24661;0;5501;6446;0;0;0;0;0;0;0;0;0;88507;674;13224;12755;2594;323;0;0
"125";2017;"0";"0";"0";0;0;0;0;0;15571;0;15562;0;2068;4059;0;0;0;0;0;0;0;0;0;54036;764;6540;8332;1139;419;0;0
"126";2017;"0";"0";"0";0;0;0;0;0;23819;0;17062;0;974;3830;0;0;0;0;0;0;0;0;0;58775;1799;5053;5798;442;120;0;0
"127";2017;"0";"0";"0";0;0;0;0;0;4599;0;4481;0;2538;1768;0;0;0;0;0;0;0;0;0;19294;720;1244;2474;1472;190;0;0
"128";2017;"0";"0";"0";0;0;0;0;0;9895;0;8159;0;3060;2832;0;0;0;0;0;0;0;0;0;32921;364;2239;3701;2672;282;0;0
"129";2017;"0";"0";"0";0;0;0;0;0;10951;0;8484;0;2754;2449;0;0;0;0;0;0;0;0;0;35612;603;3899;4695;1778;384;0;0
"130";2017;"0";"0";"0";0;0;0;0;0;25940;0;24193;0;8118;6068;0;0;0;0;0;0;0;0;0;88046;1202;8031;11739;2756;848;0;0
"131";2017;"0";"0";"0";0;0;0;0;0;21282;0;15546;0;2480;3598;0;0;0;0;0;0;0;0;0;56716;986;3745;8124;954;269;0;0
"132";2017;"0";"0";"0";0;0;0;0;0;35185;0;20902;0;1672;4089;0;0;0;0;0;0;0;0;0;71949;1804;2077;5769;452;86;0;0
"133";2017;"0";"0";"0";0;0;0;0;0;7329;0;9678;0;7718;6313;0;0;0;0;0;0;0;0;0;54194;872;4528;10291;7465;207;0;0
"134";2017;"0";"0";"0";0;0;0;0;0;22005;0;22837;0;21968;13359;0;0;0;0;0;0;0;0;0;148986;1549;16227;33020;18021;751;0;0
"135";2017;"0";"0";"0";0;0;0;0;0;25918;0;22527;0;21639;13169;0;0;0;0;0;0;0;0;0;144965;1253;20451;27318;12692;584;0;0
"136";2017;"0";"0";"0";0;0;0;0;0;50432;0;42271;0;34010;24863;0;0;0;0;0;0;0;0;0;266004;2553;53919;44271;13686;889;0;0
"137";2017;"0";"0";"0";0;0;0;0;0;25259;0;24448;0;10185;11401;0;0;0;0;0;0;0;0;0;126404;1644;22956;26628;3885;559;0;0
"138";2017;"0";"0";"0";0;0;0;0;0;46716;0;38508;0;6170;17210;0;0;0;0;0;0;0;0;0;161711;2190;20712;28196;2009;0;0;0
"139";2017;"0";"0";"0";0;0;0;0;0;9172;0;8612;0;11482;3886;0;0;0;0;0;0;0;0;0;57444;562;3117;12161;8452;274;0;0
"140";2017;"0";"0";"0";0;0;0;0;0;29952;0;24330;0;31412;10294;0;0;0;0;0;0;0;0;0;162560;1379;10899;34161;20132;706;0;0
"141";2017;"0";"0";"0";0;0;0;0;0;32334;0;21903;0;28151;10392;0;0;0;0;0;0;0;0;0;144441;1182;12494;24129;13855;379;0;0
"142";2017;"0";"0";"0";0;0;0;0;0;60876;0;42078;0;39561;21338;0;0;0;0;0;0;0;0;0;262979;3061;30150;45596;20320;991;0;0
"143";2017;"0";"0";"0";0;0;0;0;0;36884;0;27439;0;13717;12584;0;0;0;0;0;0;0;0;0;143796;2412;14852;29508;6399;553;0;0
"144";2017;"0";"0";"0";0;0;0;0;0;77444;0;49625;0;8934;22237;0;0;0;0;0;0;0;0;0;218650;4435;14866;35891;5218;434;0;0
"145";2017;"0";"0";"0";0;0;0;0;0;2341;0;2802;0;1853;1625;0;0;0;0;0;0;0;0;0;18554;390;2250;4267;3026;35;0;0
"146";2017;"0";"0";"0";0;0;0;0;0;9620;0;9506;0;8507;5497;0;0;0;0;0;0;0;0;0;66255;626;9223;15170;8105;453;0;0
"147";2017;"0";"0";"0";0;0;0;0;0;11460;0;9806;0;9661;5702;0;0;0;0;0;0;0;0;0;69826;491;12066;14244;6397;283;0;0
"148";2017;"0";"0";"0";0;0;0;0;0;18337;0;13479;0;11586;8049;0;0;0;0;0;0;0;0;0;109713;761;27661;24158;5682;420;0;0
"149";2017;"0";"0";"0";0;0;0;0;0;8897;0;6872;0;2120;2944;0;0;0;0;0;0;0;0;0;50135;627;11046;15881;1749;393;0;0
"150";2017;"0";"0";"0";0;0;0;0;0;11783;0;13537;0;1384;2596;0;0;0;0;0;0;0;0;0;61121;798;8588;21472;963;63;0;0
"151";2017;"0";"0";"0";0;0;0;0;0;3319;0;3207;0;3498;1104;0;0;0;0;0;0;0;0;0;20972;329;1129;4548;3837;94;0;0
"152";2017;"0";"0";"0";0;0;0;0;0;14519;0;10714;0;13024;4411;0;0;0;0;0;0;0;0;0;76024;709;6513;15577;10557;528;0;0
"153";2017;"0";"0";"0";0;0;0;0;0;13901;0;9583;0;11826;4479;0;0;0;0;0;0;0;0;0;68231;570;7515;13641;6717;251;0;0
"154";2017;"0";"0";"0";0;0;0;0;0;24408;0;14818;0;12445;6472;0;0;0;0;0;0;0;0;0;111269;1140;15897;26833;9257;726;0;0
"155";2017;"0";"0";"0";0;0;0;0;0;12966;0;7539;0;3211;3364;0;0;0;0;0;0;0;0;0;57854;997;7640;18940;3197;397;0;0
"156";2017;"0";"0";"0";0;0;0;0;0;19738;0;16379;0;2694;3675;0;0;0;0;0;0;0;0;0;82677;1560;6494;29668;2469;344;0;0
"157";2017;"0";"0";"0";0;0;0;0;0;4989;0;6875;0;5864;4687;0;0;0;0;0;0;0;0;0;35641;482;2279;6024;4440;171;0;0
"158";2017;"0";"0";"0";0;0;0;0;0;12385;0;13331;0;13461;7862;0;0;0;0;0;0;0;0;0;82731;922;7003;17850;9916;298;0;0
"159";2017;"0";"0";"0";0;0;0;0;0;14458;0;12721;0;11977;7467;0;0;0;0;0;0;0;0;0;75139;762;8385;13074;6295;301;0;0
