"";"Jahr";"Land";"Bezirksart";"Geschlecht";"Geburtsjahresgruppe";"Summe";"Ungültig";"CDU";"SPD";"DIE LINKE";"GRÜNE";"CSU";"FDP";"AfD";"Sonstige";"dar. NPD";"dar. FREIE WÄHLER";"dar. dieBasis";"dar. BSW"
"129";2025;"Bund";"Summe";"Summe";"1991-2000";"6192862";"18184";"754620";"684775";"1081792";"986526";"242874";"319774";"1277145";"827172";NA;"115491";NA;"349459"
"130";2025;"Bund";"Summe";"Summe";"1981-1990";"7493320";"28750";"1315709";"835720";"653504";"1086981";"378216";"304603";"2012279";"877558";NA;"134728";NA;"415647"
"131";2025;"Bund";"Summe";"Summe";"1966-1980";"12047461";"51624";"2726874";"1645161";"711174";"1469682";"724045";"483675";"3081327";"1153897";NA;"207159";NA;"603039"
"132";2025;"Bund";"Summe";"Summe";"1956-1965";"9778759";"56145";"2418517";"1880745";"494934";"1064167";"648987";"361818";"2046329";"807118";NA;"147610";NA;"480666"
"133";2025;"Bund";"Summe";"Summe";"<=1955";"11052565";"111494";"3646533";"2725307";"498131";"763557";"868673";"491079";"1274145";"673646";NA;"120516";NA;"434947"
"134";2025;"Bund";"Summe";"m";"Summe";"24338753";"120085";"5523667";"3606998";"1766093";"2585524";"1459520";"1169566";"6091800";"2015498";NA;"339527";NA;"1042821"
"135";2025;"Bund";"Summe";"m";"2001-2007";"1694516";"7418";"201243";"188599";"298402";"186249";"60129";"125077";"425572";"201828";NA;"23715";NA;"89303"
"136";2025;"Bund";"Summe";"m";"1991-2000";"3114025";"9915";"405381";"315740";"435316";"458329";"125397";"197680";"787341";"378927";NA;"55866";NA;"152428"
"137";2025;"Bund";"Summe";"m";"1981-1990";"3772675";"13145";"672265";"370318";"287621";"500885";"192357";"169755";"1197479";"368850";NA;"61182";NA;"166531"
"138";2025;"Bund";"Summe";"m";"1966-1980";"6006662";"20916";"1401463";"731292";"293219";"658826";"366211";"249756";"1823296";"461682";NA;"89231";NA;"240779"
"139";2025;"Bund";"Summe";"m";"1956-1965";"4806281";"25100";"1221841";"849447";"228943";"466239";"323198";"186141";"1179600";"325773";NA;"63065";NA;"199017"
"140";2025;"Bund";"Summe";"m";"<=1955";"4944593";"43592";"1621474";"1151602";"222592";"314996";"392229";"241157";"678514";"278438";NA;"46469";NA;"194762"
"141";2025;"Bund";"Summe";"w";"Summe";"25589900";"159056";"5672707";"4542126";"2590439";"3176856";"1504508";"979191";"4236980";"2728039";NA;"429752";NA;"1430126"
"142";2025;"Bund";"Summe";"w";"2001-2007";"1669170";"5525";"132879";"188817";"618595";"205217";"41104";"62731";"211983";"202318";NA;"20061";NA;"99885"
"143";2025;"Bund";"Summe";"w";"1991-2000";"3078837";"8269";"349238";"369035";"646476";"528197";"117478";"122094";"489804";"448245";NA;"59625";NA;"197031"
"144";2025;"Bund";"Summe";"w";"1981-1990";"3720645";"15606";"643444";"465401";"365882";"586095";"185859";"134849";"814801";"508708";NA;"73545";NA;"249116"
"145";2025;"Bund";"Summe";"w";"1966-1980";"6040799";"30708";"1325412";"913869";"417955";"810856";"357834";"233919";"1258031";"692216";NA;"117928";NA;"362260"
"146";2025;"Bund";"Summe";"w";"1956-1965";"4972478";"31045";"1196675";"1031298";"265991";"597928";"325789";"175677";"866730";"481345";NA;"84545";NA;"281649"
"147";2025;"Bund";"Summe";"w";"<=1955";"6107972";"67903";"2025059";"1573705";"275539";"448562";"476444";"249922";"595631";"395207";NA;"74048";NA;"240186"
"148";2025;"Bund";"Urne";"Summe";"Summe";"31430857";"218085";"6753331";"4936354";"2930850";"3210734";"1263958";"1350738";"7903397";"2863410";NA;"360893";NA;"1633395"
"149";2025;"Bund";"Urne";"Summe";"2001-2007";"2234402";"10053";"207763";"239986";"646939";"204089";"40773";"121807";"495880";"267112";NA;"20546";NA;"139049"
"150";2025;"Bund";"Urne";"Summe";"1991-2000";"3712086";"13495";"429183";"395687";"680946";"478663";"88680";"185660";"946527";"493246";NA;"54077";NA;"235414"
"151";2025;"Bund";"Urne";"Summe";"1981-1990";"4924740";"22142";"825507";"533712";"440044";"616295";"162706";"198295";"1574237";"551803";NA;"69426";NA;"289784"
"152";2025;"Bund";"Urne";"Summe";"1966-1980";"7998285";"40226";"1732536";"1066404";"512379";"900556";"324771";"324612";"2383941";"712859";NA;"101219";NA;"407674"
"153";2025;"Bund";"Urne";"Summe";"1956-1965";"6177681";"43410";"1472327";"1155889";"337582";"600517";"284316";"230477";"1579659";"473505";NA;"67917";NA;"306353"
"154";2025;"Bund";"Urne";"Summe";"<=1955";"6383662";"88759";"2086015";"1544678";"312958";"410614";"362712";"289887";"923153";"364886";NA;"47708";NA;"255121"
"155";2025;"Bund";"Urne";"m";"Summe";"15913476";"93958";"3447047";"2276118";"1235312";"1488421";"656937";"751083";"4700840";"1263759";NA;"166308";NA;"715584"
